subfield,genre,text
교육심리,학습성찰,요즘 공부에 흥미가 안 생기고 왜 해야 하는지 모르겠다.
교육심리,학습성찰,처음엔 못 할 줄 알았는데 해보니 나도 할 수 있다는 자신이 생겼다.
교육심리,학습성찰,시험만 다가오면 심장이 뛰고 아는 것도 생각이 안 난다.
교육심리,학습성찰,틀린 문제는 나를 혼내는 게 아니라 배울 기회라고 생각하기로 했다.
교육심리,학습성찰,문제를 풀다 보니 시간 가는 줄도 몰랐다.
교육심리,학습성찰,이번 점수는 운이 아니라 내가 꾸준히 노력한 결과라고 느꼈다.
교육평가,학생답안,광합성은 빛 에너지를 이용해 이산화탄소와 물로 포도당을 만드는 과정이다.
교육평가,학생답안,광합성은 식물이 햇빛으로 스스로 양분을 만드는 거예요.
교육평가,학생답안,광합성은 식물이 산소를 마시고 이산화탄소를 내보내는 것이다.
교육평가,학생답안,"온도가 높을수록 반응 속도가 빨라졌는데, 분자 운동이 활발해졌기 때문이다."
교육평가,학생답안,온도 올라가면 빨라짐.
교육평가,학생답안,주장에 대한 근거를 두 가지 들고 예상 반론까지 언급했다.
교육사회,토론글,지역에 따라 사교육 접근성이 너무 달라서 출발선이 공정하지 않다고 느낀다.
교육사회,토론글,가정 배경과 상관없이 누구나 좋은 교육을 받을 권리가 있다.
교육사회,토론글,학교가 계층 이동의 사다리 역할을 제대로 하지 못하는 것 같다.
교육사회,토론글,디지털 기기 보급 격차가 온라인 수업에서 학습 격차로 이어졌다.
교육사회,토론글,다문화 학생이 언어 때문에 수업에서 소외되지 않도록 지원이 필요하다.
교사교육,수업성찰,오늘 수업에서 발문을 너무 빨리 넘겨 학생들이 생각할 시간을 못 준 것 같다.
교사교육,수업성찰,모둠 활동에서 소외되는 학생을 늦게 알아챈 점이 아쉬웠다.
교사교육,멘토피드백,도입에서 학생 경험과 연결한 점이 좋았어요. 다음엔 정리 단계를 꼭 확보해 보세요.
교사교육,수업성찰,판서 계획을 미리 세우니 수업 흐름이 한결 매끄러웠다.
교사교육,수업성찰,학생의 오답을 틀림으로 넘기지 않고 사고 과정을 되물어본 것이 의미 있었다.
고등교육,강의평가,교수님의 피드백이 구체적이어서 다음 과제에 반영하기 좋았다.
고등교육,학습경험,팀 프로젝트에서 무임승차 문제로 갈등이 있었지만 역할을 나누며 해결했다.
고등교육,강의평가,온라인 강의라 집중이 어려웠지만 주차별 퀴즈가 도움이 됐다.
고등교육,상담기록,진로가 막막했는데 지도교수 상담 후 방향이 조금 잡혔다.
고등교육,학습경험,수업 난이도가 높았지만 조교의 보충 설명 덕분에 따라갈 수 있었다.
상담심리,내담자발화,요즘 아무것도 하기 싫고 무기력해요.
상담심리,상담자발화,많이 지치셨겠어요. 그 마음을 좀 더 들어보고 싶어요.
상담심리,내담자발화,친구들과 함께 있어도 혼자인 것 같아요.
상담심리,상담자발화,"괜찮으시다면, 아주 작은 것부터 하나씩 시도해 볼 수 있을까요?"
상담심리,내담자발화,지난주보다는 그래도 조금 나아진 것 같아요.
특수교육,관찰기록,지시를 두 단계로 나누어 주었을 때 과제 완수율이 높아졌다.
특수교육,관찰기록,감각 자극이 많은 환경에서 집중이 흐트러지는 모습이 관찰됐다.
특수교육,관찰기록,또래와의 상호작용에서 차례 지키기를 연습하고 있다.
특수교육,관찰기록,시각적 일과표를 사용한 뒤 활동 간 전이 시간이 짧아졌다.
유아교육,놀이관찰,블록 놀이에서 친구와 협력해 높은 탑을 쌓으며 기뻐했다.
유아교육,놀이관찰,역할 놀이 중 자신의 감정을 말로 표현하는 모습이 늘었다.
유아교육,놀이관찰,새로운 활동에 대한 거부감이 줄고 호기심을 보였다.
유아교육,놀이관찰,친구가 속상해하자 다가가 등을 토닥이며 위로했다.
